ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,AWARD_VALUE_EURO
20196546,RO,RO---RO,10784.14
2019509953,RO,RO,7800.77
2019124213,RO,,
2019419606,PL,PL,10342.98
2019292116,DE,,
2019408349,RO,RO,21787.45
201997955,RO,,
2019488385,UK,UK,2872593.05
20193800,CZ,CZ,3039.08
2019613381,CZ,,
2019167597,FR,FR,80000
2019551384,LT,,
2019199626,PL,PL,756643.03
2019532267,RO,RO,244724.67
2019328370,CZ,CZ,28091.22
2019587816,DE,,
2019320775,CH,CH,1931512.94
2019101866,CZ,CZ,950000
2019136157,PL,PL,52.77
201955950,UK,UK,712804.95
2019218510,PL,PL---PL,1246.04
2019613332,RO,,
2019622657,DE,DE,
2019332146,SI,SI,651.06
2019539337,RO,RO,13716.31
2019292176,ES,,
2019225258,DE,,
2019240338,DE,DE,282052.28
2019452666,FR,FR,1000000
2019273280,UK,UK,94557799.88
2019369467,DE,,
2019195058,LT,LT,94
2019567138,RO,RO,318.51
2019595119,FR,FR---FR,112000
2019404611,RO,RO,804585.59
2019364125,SI,,
2019506510,SE,SE,944367.32
2019175208,FR,FR,19305
201972486,FR,,
2019112883,SE,SE,2174460.91
2019332033,SI,,
2019549358,IT,IT,140250
2019571100,RO,RO,29205.95
2019523746,FI,FR,459775
2019428354,BG,,
2019556058,NO,NO,124859.15
2019519854,PL,PL,47468.35
2019567055,BE,FR---BE,2990400
2019508416,FR,FR,89686.09
2019103442,FI,,
2019134659,IT,IT,65071.76
2019176053,DE,DE,0.01
2019282157,PL,PL,579.13
2019174438,DE,DE,449555.17
201999651,PL,PL,489667.09
201946430,DE,,
2019323992,RO,,
2019430715,MT,MT,116882.42
2019450136,PL,,
2019429248,ES,ES,6170931.46
2019105935,BG,BG,32383.68
2019532225,PL,PL,2094.19
201933543,FR,FR,250000
201964537,FR,FR,185419.64
2019383333,DE,DE,0.01
2019542779,HR,,
2019418912,CZ,CZ,2532099.73
2019554121,ES,ES,0.01
2019112927,PL,PL,17684.29
2019316119,RO,,
2019318712,RO,RO,164.37
20192718,FR,FR,310083.6
2019102677,RO,,
2019406266,RO,RO---RO---RO,231.81
2019375531,BG,BG,11885.27
2019534831,DE,DE---DE,5149334
2019539398,DE,DE,93770
2019327629,UK,UK,53475.85
2019563838,PL,PL,2231.48
2019426136,SI,SI,7344
2019313819,FR,FR,59940
2019500254,BE,BE,273460
2019478404,PL,PL,145.66
2019276043,FR,,
2019287561,IE,UK,47260
2019617951,ES,,
2019471327,PL,,
2019330542,PL,,
2019529999,DE,,
2019227737,UK,UK,2506.35
2019186070,LT,,
201997661,SI,SI,2974.09
2019597000,ES,,
2019193469,CZ,CZ,47343.22
2019205813,SI,SI,7322.59
201978420,ES,ES,20753.14
2019238117,FI,FI,228000
2019108146,IT,,
201995117,FR,FR,82838.4
2019227901,ES,,
2019348329,ES,,
2019509958,RO,RO,153625.69
2019510035,DE,DE,1
2019262347,DE,,
2019424071,PL,PL,99897.62
2019205942,ES,,
2019600112,ES,ES,75000
2019236155,RO,RO,185705.01
201950182,RO,RO,168.17
2019271752,PL,PL---PL,9365.69
2019392409,PL,PL---PL,116.34
2019496258,RO,RO,27554.63
2019466101,SI,,
201929125,DE,DE,1
2019404556,RO,RO---RO---RO,44041.89
2019176535,RO,RO,18428.76
2019126594,ES,ES,133.9
2019600960,DE,DE,522500
20193193,PL,,
2019377615,RO,RO,394.92
2019450352,PL,PL,9968.35
2019387575,PL,PL---PL,111.49
2019344499,LV,LV,35856.23
2019265032,ES,ES,234900
2019301449,DE,DE,0.01
2019581128,RO,,
20193192,SI,,
2019165017,SE,SE,3683032.55
2019537208,ES,,
201910331,FR,FR,1299740
2019613078,ES,ES,92070
2019308126,DE,DE,139494
2019119218,UK,UK,387345.2
2019270369,PL,,
2019376781,DE,DE,1
2019310338,PL,PL,2153.76
201997943,PL,PL,193608.06
2019312988,IT,,
2019147195,UK,UK---UK---UK---UK---UK---UK,1093680.58
20194949,PL,,
2019619174,GR,,
2019337126,UK,UK,5777.09
2019521610,DE,DE,214267.14
2019210716,HR,,
2019421861,RO,,
2019387379,PL,PL,928.67
2019255555,PL,PL,7521.41
2019190589,CZ,CZ,556.91
2019430490,RO,,
2019407290,FR,FR,175000
2019319041,RO,,
2019482265,RO,RO,40194.2
2019352778,DE,DE,66000
2019237014,HR,,
2019501726,HR,HR,34642.49
